AXP,DuPont,3M,Walmart,Alcoa,Exxon,McDonald,WaltDisney,Boeing,Ford,Merck,CAT,GE,PG,Chevron,IBM,Pfizer,CocaCola,J&J,UTX
1.9338,1.8436,2.142,1.8821,1.2057,1.9668,1.9737,1.9385,2.0915,1.1661,1.7697,1.9853,1.4086,1.916,2.0767,2.2687,1.4595,1.63,2.0164,2.0115
1.9335,1.8452,2.1436,1.8815,1.2014,1.9647,1.974,1.942,2.0932,1.1755,1.7687,1.9862,1.4052,1.9165,2.0812,2.2693,1.4609,1.6308,2.0183,2.014
1.9409,1.853,2.1513,1.8835,1.2084,1.9703,1.9769,1.9495,2.1026,1.2092,1.7729,1.9925,1.4087,1.9196,2.0845,2.2754,1.4672,1.63,2.0277,2.0213
1.943,1.8547,2.1529,1.8813,1.1931,1.972,1.9833,1.9486,2.1073,1.2057,1.7739,1.996,1.4074,1.9232,2.0816,2.275,1.47,1.6258,2.0275,2.0192
1.945,1.8575,2.1536,1.8836,1.2006,1.9766,1.9763,1.9481,2.107,1.2114,1.7737,1.9983,1.4138,1.924,2.0878,2.2759,1.4692,1.6253,2.0298,2.0198
1.937,1.8532,2.1538,1.8815,1.1951,1.9711,1.9739,1.9448,2.1017,1.2049,1.7755,1.9946,1.4153,1.9227,2.0901,2.2735,1.473,1.621,2.0298,2.0167
1.9458,1.8594,2.161,1.8869,1.1987,1.9783,1.9777,1.9516,2.1066,1.2101,1.7807,2.0019,1.4163,1.9273,2.0916,2.281,1.4778,1.626,2.036,2.0232
1.9447,1.8486,2.1595,1.8785,1.209,1.9793,1.9709,1.946,2.1026,1.2175,1.7802,1.9966,1.4198,1.9232,2.0962,2.2795,1.4741,1.6221,2.0312,2.0206
1.9481,1.8514,2.1635,1.8826,1.2087,1.9816,1.9728,1.9508,2.1067,1.2156,1.7823,2.0006,1.4185,1.9251,2.0939,2.2828,1.476,1.6255,2.0329,2.0249
1.9515,1.8499,2.1664,1.8856,1.2109,1.9842,1.9748,1.9566,2.1092,1.2143,1.7817,2.0075,1.4158,1.9234,2.0959,2.2848,1.4791,1.6238,2.0334,2.0329
1.9534,1.8496,2.1668,1.8821,1.2076,1.9819,1.9707,1.9559,2.1066,1.214,1.7804,2.0152,1.4148,1.9219,2.0968,2.2843,1.4817,1.6211,2.0308,2.0331
1.9485,1.8375,2.1625,1.8822,1.2138,1.984,1.971,1.9558,2.1039,1.2127,1.7773,2.0137,1.4099,1.9218,2.0943,2.2821,1.4784,1.6192,2.0261,2.0312
1.945,1.8155,2.1609,1.8826,1.2225,1.9856,1.972,1.9555,2.1024,1.2159,1.7781,2.0173,1.4091,1.9214,2.0887,2.2825,1.4741,1.6195,2.0248,2.0332
1.9401,1.812,2.1598,1.8797,1.2271,1.9805,1.9707,1.9546,2.0989,1.2177,1.7747,2.0173,1.4116,1.9203,2.0928,2.2799,1.4722,1.618,2.02,2.0323
1.9414,1.8085,2.1582,1.8795,1.2348,1.9781,1.9701,1.9526,2.1011,1.217,1.7749,2.018,1.4104,1.9171,2.0944,2.2787,1.4651,1.6176,2.0194,2.0325
1.9453,1.8109,2.1594,1.8814,1.2325,1.9838,1.9683,1.9541,2.1035,1.217,1.7789,2.0203,1.4096,1.9183,2.0975,2.2797,1.4681,1.6227,2.0193,2.0331
1.9452,1.8114,2.1603,1.8837,1.2299,1.9828,1.9685,1.9519,2.1054,1.2214,1.7805,2.0217,1.4126,1.9191,2.1011,2.2793,1.4652,1.6218,2.0211,2.0331
1.9427,1.8118,2.1597,1.885,1.2368,1.9854,1.9595,1.9523,2.1054,1.2302,1.779,2.0277,1.413,1.9157,2.1052,2.2758,1.4621,1.6195,2.0162,2.0337
1.9478,1.8124,2.161,1.8838,1.2322,1.9871,1.9661,1.9569,2.1046,1.2335,1.7825,2.0297,1.4106,1.9175,2.1031,2.2761,1.4646,1.6178,2.0172,2.0335
1.951,1.8166,2.159,1.8894,1.2279,1.9937,1.9688,1.9588,2.0933,1.2385,1.7835,2.0323,1.4104,1.9198,2.1067,2.2785,1.4683,1.6185,2.0188,2.0339
1.9512,1.8161,2.1572,1.884,1.2212,1.9897,1.9685,1.9549,2.096,1.2415,1.7755,2.0334,1.4087,1.9194,2.1056,2.2773,1.4642,1.6188,2.0164,2.0359
1.9536,1.8154,2.1578,1.8809,1.2196,1.993,1.9691,1.9588,2.0976,1.237,1.7784,2.032,1.4109,1.9152,2.1121,2.2802,1.4646,1.6178,2.016,2.0358
1.9516,1.8155,2.159,1.8794,1.2185,1.9903,1.9675,1.9581,2.096,1.2373,1.7735,2.0338,1.4115,1.9157,2.1097,2.2793,1.4625,1.6164,2.0144,2.0352
1.9508,1.8174,2.1584,1.8779,1.2222,1.9945,1.9718,1.9537,2.1006,1.2358,1.7758,2.0344,1.4135,1.9163,2.1094,2.281,1.4645,1.6172,2.0159,2.031
1.9482,1.8176,2.1583,1.8802,1.2191,1.995,1.9738,1.9554,2.1016,1.2315,1.775,2.0327,1.4115,1.9159,2.1081,2.2803,1.4643,1.6163,2.0126,2.0355
1.9492,1.8162,2.1582,1.88,1.2162,1.9948,1.9724,1.956,2.1054,1.2325,1.777,2.0323,1.4146,1.9174,2.1067,2.2809,1.466,1.616,2.0138,2.0354
1.9489,1.8177,2.1602,1.8781,1.2154,1.9953,1.9699,1.9543,2.1067,1.231,1.7764,2.0304,1.4138,1.9178,2.1042,2.2826,1.4618,1.616,2.0147,2.0377
1.9509,1.8176,2.1605,1.879,1.2127,1.9914,1.9714,1.9561,2.1058,1.2368,1.7731,2.03,1.4185,1.9186,2.107,2.2784,1.4573,1.6139,2.0138,2.0383
1.9475,1.8157,2.1588,1.8793,1.2167,1.9903,1.9715,1.9566,2.1028,1.237,1.7689,2.0273,1.4173,1.9178,2.1055,2.2767,1.4574,1.6109,2.0133,2.0366
1.9488,1.8186,2.1599,1.8782,1.2148,1.9937,1.9718,1.9561,2.103,1.2358,1.7666,2.03,1.4121,1.9172,2.106,2.2786,1.4559,1.6139,2.0149,2.0393
1.9456,1.8181,2.1602,1.8748,1.2119,1.9956,1.9703,1.9535,2.1025,1.2375,1.7712,2.0289,1.4125,1.9148,2.1014,2.276,1.457,1.6123,2.0108,2.0379
1.9438,1.8186,2.1565,1.8744,1.2063,1.9947,1.9715,1.9547,2.0964,1.2345,1.767,2.0273,1.4053,1.9141,2.1007,2.276,1.4577,1.6124,2.0097,2.0333
1.939,1.8158,2.1562,1.8721,1.2095,1.9948,1.9705,1.9541,2.0943,1.2375,1.7634,2.026,1.4093,1.9128,2.1,2.2743,1.4562,1.6133,2.0086,2.0314
1.9362,1.8117,2.1495,1.8686,1.2098,1.9926,1.9684,1.9508,2.088,1.2373,1.7648,2.0209,1.4084,1.9093,2.1022,2.2698,1.4532,1.6083,2.0021,2.0214
1.9396,1.8114,2.1508,1.8715,1.2084,1.9929,1.9678,1.9475,2.0913,1.232,1.766,2.0206,1.4048,1.9103,2.1004,2.2709,1.4545,1.6009,2.0057,2.022
1.9402,1.8108,2.1491,1.8694,1.2084,1.9929,1.9692,1.9425,2.0838,1.231,1.7591,2.0185,1.4077,1.9077,2.1025,2.2711,1.4467,1.5982,2.0046,2.0211
1.9386,1.8102,2.1463,1.8705,1.206,1.9903,1.9674,1.9406,2.0783,1.2289,1.753,2.0151,1.4057,1.9074,2.1031,2.2697,1.4447,1.5954,1.9998,2.016
1.938,1.8071,2.1454,1.8713,1.2033,1.9913,1.9672,1.942,2.0795,1.2219,1.7501,2.0158,1.4029,1.9077,2.0955,2.27,1.4473,1.5942,2.0021,2.0193
1.9406,1.8071,2.1462,1.8731,1.2151,1.9927,1.9673,1.9388,2.0789,1.2261,1.7493,2.0107,1.4019,1.9049,2.0958,2.268,1.4487,1.5928,2.0017,2.0203
1.9333,1.8028,2.1409,1.8689,1.2143,1.9863,1.9662,1.932,2.0761,1.2232,1.7423,2.0051,1.3946,1.9005,2.0931,2.2626,1.444,1.5918,1.9968,2.0131
1.9352,1.8054,2.1421,1.8704,1.2214,1.9894,1.9669,1.9375,2.0706,1.2271,1.7444,2.0031,1.399,1.9056,2.1041,2.2665,1.4478,1.598,2.0001,2.0113
1.935,1.8004,2.1429,1.8625,1.2143,1.986,1.9668,1.9383,2.0786,1.2217,1.7452,2.0032,1.4004,1.8966,2.1032,2.2666,1.4498,1.5899,1.9963,2.0164
1.9379,1.8044,2.1459,1.8637,1.213,1.9944,1.9708,1.9407,2.0738,1.2271,1.7532,2.0045,1.3969,1.8955,2.1077,2.2724,1.4548,1.5924,1.9978,2.0166
1.9356,1.8016,2.1439,1.8637,1.2217,1.9886,1.9708,1.9314,2.0754,1.2383,1.7512,1.999,1.4053,1.8978,2.1186,2.2713,1.4565,1.5912,1.9966,2.0153
1.9432,1.8022,2.1463,1.8639,1.2266,1.9892,1.972,1.9339,2.0758,1.2378,1.7507,2,1.4021,1.885,2.1183,2.277,1.4541,1.5912,1.9975,2.017
1.9573,1.8095,2.155,1.8709,1.2292,2.0077,1.9783,1.9406,2.0822,1.2395,1.7609,2.0111,1.4045,1.8897,2.121,2.2823,1.4625,1.5947,2.0069,2.0221
1.9611,1.8148,2.1559,1.8748,1.2175,2.009,1.9777,1.9355,2.0824,1.239,1.7646,2.0166,1.4077,1.8924,2.122,2.2835,1.4657,1.6027,2.0055,2.0259
